id,order_number,ticket_name,ticket_price,printed,promo_code_id,checked_in
290599-761145,290599,2015 North Carolina's Funniest Person Registration Fee,2000,True,,False
327197-851794,327197,2015 North Carolina's Funniest Person Registration Fee,2000,False,,False
267805-369074,267805,2015 North Carolina's Funniest Person Registration Fee,2000,True,,False
289222-916295,289222,2015 North Carolina's Funniest Person Registration Fee,2000,True,,False
255582-526375,255582,2015 North Carolina's Funniest Person Registration Fee,2000,True,,False
336395-420192,336395,2015 North Carolina's Funniest Person Registration Fee,2000,False,,False
323072-879635,323072,2015 North Carolina's Funniest Person Registration Fee,2000,True,,False
4631-852834,4631,Downpayment ($100),10000,False,,False
20966-986068,20966,Downpayment ($200),20000,False,,False
90628-134131,90628,Payment in Full ($300),30000,False,,False
169015-734617,169015,Downpayment ($100),10000,False,,False
479890-249040,479890,Down Payment,20000,False,,False
496354-373847,496354,Pay in Full,40000,False,,False
495280-025654,495280,2nd Payment,20000,False,,False
496381-286199,496381,Down Payment,20000,False,,False
499739-105313,499739,Pay in Full,40000,False,,False
497464-064515,497464,Down Payment,20000,False,,False
525063-422502,525063,2nd Payment,20000,False,,False
496390-688798,496390,2nd Payment,20000,False,,False
505839-332728,505839,Down Payment,20000,False,,False
503412-902669,503412,Down Payment,20000,False,,False
435961-095040,435961,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
426034-268488,426034,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
426155-526674,426155,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
428139-719774,428139,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
426104-270844,426104,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
426141-806897,426141,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
426056-331427,426056,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
427498-180613,427498,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
426065-580181,426065,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
434130-428123,434130,"""Intro to Comedy"" Workshop DISCOUNT",20000,False,,False
438644-280591,438644,2nd Down Payment,10000,False,,False
526285-632855,526285,$50 Gift Certificate,5000,False,,False
348599-717631,348599,$100 Gift Certificate,10000,False,,False
359948-955115,359948,$50 Gift Certificate,5000,False,,False
344406-069734,344406,$50 Gift Certificate,5000,False,,False
528103-410688,528103,$75 Gift Certificate,7500,False,,False
508812-405568,508812,$100 Gift Certificate,10000,False,,False
440743-848478,440743,$75 Gift Certificate,7500,False,,False
477577-906320,477577,$75 Gift Certificate,7500,False,,False
356031-377847,356031,$50 Gift Certificate,5000,False,,False
426685-384033,426685,$50 Gift Certificate,5000,False,,False
348600-340274,348600,$100 Gift Certificate,10000,False,,False
402318-354361,402318,$50 Gift Certificate,5000,False,,False
402318-044380,402318,$50 Gift Certificate,5000,False,,False
402318-613178,402318,$50 Gift Certificate,5000,False,,False
402318-329291,402318,$50 Gift Certificate,5000,False,,False
402318-781790,402318,$50 Gift Certificate,5000,False,,False
402318-802831,402318,$50 Gift Certificate,5000,False,,False
402318-935746,402318,$50 Gift Certificate,5000,False,,False
402318-331190,402318,$50 Gift Certificate,5000,False,,False
502172-788346,502172,$75 Gift Certificate,7500,False,,False
523463-745369,523463,$25 Gift Certificate,2500,False,,False
502394-569647,502394,$50 Gift Certificate,5000,False,,False
366954-469916,366954,$50 Gift Certificate,5000,False,,False
351791-793539,351791,$25 Gift Certificate,2500,False,,False
412841-779044,412841,$50 Gift Certificate,5000,False,,False
464109-587893,464109,$50 Gift Certificate,5000,False,,False
511751-569730,511751,$50 Gift Certificate,5000,False,,False
511751-649346,511751,$50 Gift Certificate,5000,False,,False
418119-374635,418119,$50 Gift Certificate,5000,False,,False
343101-695870,343101,$25 Gift Certificate,2500,False,,False
503715-748232,503715,$75 Gift Certificate,7500,False,,False
341331-582172,341331,$75 Gift Certificate,7500,False,,False
341331-020597,341331,$75 Gift Certificate,7500,False,,False
341331-589117,341331,$75 Gift Certificate,7500,False,,False
327820-025752,327820,$50 Gift Certificate,5000,False,,False
65722-092768,65722,$25 Gift Certificate,2500,False,,False
151889-776629,151889,$50 Gift Certificate,5000,False,,False
4725-633323,4725,$100 Gift Certificate,10000,False,,False
65940-624396,65940,$50 Gift Certificate,5000,False,,False
65940-110626,65940,$50 Gift Certificate,5000,False,,False
65940-687197,65940,$50 Gift Certificate,5000,False,,False
65940-369725,65940,$50 Gift Certificate,5000,False,,False
65940-251092,65940,$50 Gift Certificate,5000,False,,False
65940-623130,65940,$50 Gift Certificate,5000,False,,False
7937-942332,7937,$50 Gift Certificate,5000,False,,False
140682-706511,140682,$75 Gift Certificate,7500,False,,False
329954-237498,329954,$50 Gift Certificate,5000,False,,False
145674-559803,145674,$50 Gift Certificate,5000,False,,False
152337-205992,152337,$75 Gift Certificate,7500,False,,False
257858-286975,257858,$50 Gift Certificate,5000,False,,False
135589-000660,135589,$50 Gift Certificate,5000,False,,False
135589-309619,135589,$50 Gift Certificate,5000,False,,False
141239-932796,141239,$100 Gift Certificate,10000,False,,False
141936-820119,141936,$50 Gift Certificate,5000,False,,False
164161-418593,164161,$100 Gift Certificate,10000,False,,False
164161-341854,164161,$50 Gift Certificate,5000,False,,False
12110-150143,12110,$25 Gift Certificate,2500,False,,False
12110-883811,12110,$25 Gift Certificate,2500,False,,False
12110-119887,12110,$25 Gift Certificate,2500,False,,False
6565-217645,6565,$50 Gift Certificate,5000,False,,False
6791-798001,6791,$50 Gift Certificate,5000,False,,False
286489-455200,286489,$100 Gift Certificate,10000,False,,False
151650-518577,151650,$50 Gift Certificate,5000,False,,False
12184-198592,12184,$100 Gift Certificate,10000,False,,False
164551-604922,164551,$75 Gift Certificate,7500,False,,False
167086-571052,167086,$25 Gift Certificate,2500,False,,False
5285-735393,5285,$50 Gift Certificate,5000,False,,False
15357-700104,15357,$50 Gift Certificate,5000,False,,False
138967-634959,138967,$100 Gift Certificate,10000,False,,False
264650-493701,264650,$100 Gift Certificate,10000,False,,False
86732-641514,86732,$25 Gift Certificate,2500,False,,False
12157-322815,12157,$75 Gift Certificate,7500,False,,False
132878-716653,132878,$50 Gift Certificate,5000,False,,False
164190-468546,164190,$100 Gift Certificate,10000,False,,False
4897-638824,4897,$100 Gift Certificate,10000,False,,False
164181-003190,164181,$25 Gift Certificate,2500,False,,False
290433-773057,290433,$50 Gift Certificate,5000,False,,False
194712-472116,194712,$100 Gift Certificate,10000,False,,False
62269-002443,62269,$25 Gift Certificate,2500,False,,False
133095-438458,133095,$50 Gift Certificate,5000,False,,False
145060-205042,145060,$50 Gift Certificate,5000,False,,False
268210-640197,268210,$50 Gift Certificate,5000,False,,False
4792-399270,4792,$100 Gift Certificate,10000,False,,False
262457-152949,262457,$50 Gift Certificate,5000,False,,False
5508-320016,5508,$50 Gift Certificate,5000,False,,False
151713-604184,151713,$50 Gift Certificate,5000,False,,False
65970-565111,65970,$25 Gift Certificate,2500,False,,False
65970-147766,65970,$100 Gift Certificate,10000,False,,False
221683-579977,221683,$50 Gift Certificate,5000,False,,False
6941-674843,6941,$100 Gift Certificate,10000,False,,False
4759-928763,4759,$50 Gift Certificate,5000,False,,False
15626-271796,15626,$25 Gift Certificate,2500,False,,False
15626-188372,15626,$25 Gift Certificate,2500,False,,False
164594-376675,164594,$50 Gift Certificate,5000,False,,False
406774-596224,406774,$50 Non-GCA Student,5000,False,,False
401964-156641,401964,$50 Non-GCA Student,5000,False,,False
402580-290179,402580,$50 Non-GCA Student,5000,False,,False
414185-162222,414185,$50 Non-GCA Student,5000,False,,False
401954-908705,401954,$50 Non-GCA Student,5000,False,,False
410024-471326,410024,$50 Non-GCA Student,5000,False,,False
401965-637510,401965,$50 Non-GCA Student,5000,False,,False
424671-853696,424671,$35 Current/Former GCA Student,3500,False,,False
408507-865419,408507,$50 Non-GCA Student,5000,False,,False
401866-650860,401866,$50 Non-GCA Student,5000,False,,False
402375-155568,402375,$50 Non-GCA Student,5000,False,,False
419658-665487,419658,$50 Non-GCA Student,5000,False,,False
412487-859673,412487,$50 Non-GCA Student,5000,False,,False
407442-773718,407442,$50 Non-GCA Student,5000,False,,False
401868-745859,401868,$50 Non-GCA Student,5000,False,,False
401875-508664,401875,$50 Non-GCA Student,5000,False,,False
420297-627368,420297,$50 Non-GCA Student,5000,False,,False
421180-498389,421180,$50 Non-GCA Student,5000,False,,False
401919-840468,401919,$50 Non-GCA Student,5000,False,,False
413915-727701,413915,$50 Non-GCA Student,5000,False,,False
403268-932775,403268,$50 Non-GCA Student,5000,False,,False
405007-010095,405007,$50 Non-GCA Student,5000,False,,False
473557-095948,473557,Down Payment,20000,False,,False
480893-608853,480893,Pay in Full,40000,False,,False
492576-874569,492576,Weekly Payment,10000,False,,False
477857-901595,477857,Weekly Payment,10000,False,,False
478857-528881,478857,Down Payment,20000,False,,False
495538-231423,495538,Down Payment,20000,False,,False
480008-275815,480008,Down Payment,20000,False,,False
